GKE Single service


100 users 50% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 27%/50%   1         10        1          3m50s
frontend-hpa   Deployment/frontend   cpu: 23%/50%   1         10        1          4m13s
frontend-hpa   Deployment/frontend   cpu: 158%/50%   1         10        1          4m15s
frontend-hpa   Deployment/frontend   cpu: 158%/50%   1         10        4          4m16s
frontend-hpa   Deployment/frontend   cpu: 48%/50%    1         10        4          5m22s
frontend-hpa   Deployment/frontend   cpu: 48%/50%    1         10        4          7m37s
frontend-hpa   Deployment/frontend   cpu: 45%/50%    1         10        4          8m45s
frontend-hpa   Deployment/frontend   cpu: 49%/50%    1         10        4          9m52s
frontend-hpa   Deployment/frontend   cpu: 48%/50%    1         10        4          10m
frontend-hpa   Deployment/frontend   cpu: 47%/50%    1         10        4          12m
frontend-hpa   Deployment/frontend   cpu: 49%/50%    1         10        4          13m
frontend-hpa   Deployment/frontend   cpu: 48%/50%    1         10        4          17m
frontend-hpa   Deployment/frontend   cpu: 44%/50%    1         10        4          18m
frontend-hpa   Deployment/frontend   cpu: 28%/50%    1         10        4          19m
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          19m
frontend-hpa   Deployment/frontend   cpu: 6%/50%     1         10        4          20m
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          21m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          22m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          23m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          24m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          24m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        1          24m
frontend-hpa   Deployment/frontend   cpu: 15%/50%    1         10        1          25m


300 users 50% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 0%/50%   1         10        1          32m
frontend-hpa   Deployment/frontend   cpu: 21%/50%   1         10        1          32m
frontend-hpa   Deployment/frontend   cpu: 143%/50%   1         10        1          33m
frontend-hpa   Deployment/frontend   cpu: 143%/50%   1         10        3          33m
frontend-hpa   Deployment/frontend   cpu: 67%/50%    1         10        3          33m
frontend-hpa   Deployment/frontend   cpu: 67%/50%    1         10        4          33m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          34m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          35m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          36m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          40m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          41m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          42m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          44m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          45m
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          46m
frontend-hpa   Deployment/frontend   cpu: 36%/50%    1         10        4          48m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          48m
frontend-hpa   Deployment/frontend   cpu: 6%/50%     1         10        4          49m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          50m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          51m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          52m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        4          53m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          53m
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        1          53m
