GKE multi-services

100 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          101m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%    1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 19%/50%   1         10        1          101m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%    1         10        1          101m
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 15%/50%   1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 109%/50%   1         10        1          101m
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/50%    1         10        1          101m
recommendation-hpa   Deployment/recommendationservice   cpu: 70%/50%    1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 109%/50%   1         10        3          101m
recommendation-hpa   Deployment/recommendationservice   cpu: 70%/50%    1         10        2          101m
frontend-hpa         Deployment/frontend                cpu: 192%/50%   1         10        3          101m
frontend-hpa         Deployment/frontend                cpu: 192%/50%   1         10        4          102m
cart-hpa             Deployment/cartservice             cpu: 20%/50%    1         10        1          102m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          102m
recommendation-hpa   Deployment/recommendationservice   cpu: 44%/50%    1         10        2          102m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          102m
cart-hpa             Deployment/cartservice             cpu: 31%/50%    1         10        1          103m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          103m
recommendation-hpa   Deployment/recommendationservice   cpu: 38%/50%    1         10        2          103m
frontend-hpa         Deployment/frontend                cpu: 47%/50%    1         10        4          104m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          104m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          104m
frontend-hpa         Deployment/frontend                cpu: 47%/50%    1         10        4          105m
recommendation-hpa   Deployment/recommendationservice   cpu: 51%/50%    1         10        2          105m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          105m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          106m
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        2          106m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          106m
cart-hpa             Deployment/cartservice             cpu: 31%/50%    1         10        1          106m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          107m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/50%    1         10        2          107m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          107m
cart-hpa             Deployment/cartservice             cpu: 30%/50%    1         10        1          107m
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        2          108m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          108m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/50%     1         10        1          108m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          109m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          109m
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        2          109m
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          110m
frontend-hpa         Deployment/frontend                cpu: 44%/50%    1         10        4          110m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        2          110m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          111m
cart-hpa             Deployment/cartservice             cpu: 20%/50%    1         10        1          111m
frontend-hpa         Deployment/frontend                cpu: 47%/50%    1         10        4          111m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/50%    1         10        2          111m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/50%     1         10        1          112m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          112m
cart-hpa             Deployment/cartservice             cpu: 25%/50%    1         10        1          112m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        2          113m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          113m
cart-hpa             Deployment/cartservice             cpu: 30%/50%    1         10        1          113m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          113m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/50%    1         10        2          114m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          114m
frontend-hpa         Deployment/frontend                cpu: 45%/50%    1         10        4          114m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          114m
recommendation-hpa   Deployment/recommendationservice   cpu: 49%/50%    1         10        2          115m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          115m
frontend-hpa         Deployment/frontend                cpu: 46%/50%    1         10        4          115m
cart-hpa             Deployment/cartservice             cpu: 29%/50%    1         10        1          116m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/50%    1         10        2          116m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          116m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          116m
recommendation-hpa   Deployment/recommendationservice   cpu: 11%/50%    1         10        2          116m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          117m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        2          117m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          118m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          118m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          118m
recommendation-hpa   Deployment/recommendationservice   cpu: 6%/50%     1         10        2          119m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          119m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          119m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          119m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          120m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          120m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          121m
recommendation-hpa   Deployment/recommendationservice   cpu: 6%/50%     1         10        2          121m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          121m
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/50%    1         10        1          121m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        1          121m
frontend-hpa         Deployment/frontend                cpu: 0%/50%     1         10        1          121m
cart-hpa             Deployment/cartservice             cpu: 1%/50%     1         10        1          122m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        1          122m


300 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          30s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%    1         10        1          30s
frontend-hpa         Deployment/frontend                cpu: 20%/50%   1         10        1          31s
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/50%   1         10        1          29s
