Multiservices
100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          7m53s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%    1         10        1          7m53s
frontend-hpa         Deployment/frontend                cpu: 16%/50%   1         10        1          7m53s
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%    1         10        1          7m53s
frontend-hpa         Deployment/frontend                cpu: 110%/50%   1         10        1          8m30s
cart-hpa             Deployment/cartservice             cpu: 14%/50%    1         10        1          8m30s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          8m30s
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        1          8m31s
frontend-hpa         Deployment/frontend                cpu: 110%/50%   1         10        3          8m45s
frontend-hpa         Deployment/frontend                cpu: 195%/50%   1         10        3          9m30s
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          9m30s
recommendation-hpa   Deployment/recommendationservice   cpu: 76%/50%    1         10        1          9m31s
frontend-hpa         Deployment/frontend                cpu: 195%/50%   1         10        4          9m45s
recommendation-hpa   Deployment/recommendationservice   cpu: 76%/50%    1         10        2          9m46s
frontend-hpa         Deployment/frontend                cpu: 64%/50%    1         10        4          10m
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          10m
recommendation-hpa   Deployment/recommendationservice   cpu: 72%/50%    1         10        2          10m
frontend-hpa         Deployment/frontend                cpu: 46%/50%    1         10        4          11m
cart-hpa             Deployment/cartservice             cpu: 19%/50%    1         10        1          11m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          11m
recommendation-hpa   Deployment/recommendationservice   cpu: 37%/50%    1         10        2          11m
cart-hpa             Deployment/cartservice             cpu: 20%/50%    1         10        1          12m
frontend-hpa         Deployment/frontend                cpu: 48%/50%    1         10        4          12m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          12m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          13m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          13m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          13m
recommendation-hpa   Deployment/recommendationservice   cpu: 38%/50%    1         10        2          13m
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          14m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          14m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          14m
recommendation-hpa   Deployment/recommendationservice   cpu: 36%/50%    1         10        2          14m
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          15m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          15m
cart-hpa             Deployment/cartservice             cpu: 25%/50%    1         10        1          16m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          16m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          16m
recommendation-hpa   Deployment/recommendationservice   cpu: 38%/50%    1         10        2          16m
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          17m
