Single Service

100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 15%/50%   1         10        1          46m
frontend-hpa   Deployment/frontend   cpu: 89%/50%   1         10        1          47m
frontend-hpa   Deployment/frontend   cpu: 89%/50%   1         10        2          47m
frontend-hpa   Deployment/frontend   cpu: 191%/50%  1         10        2          48m
frontend-hpa   Deployment/frontend   cpu: 191%/50%  1         10        4          48m
frontend-hpa   Deployment/frontend   cpu: 94%/50%   1         10        4          49m
frontend-hpa   Deployment/frontend   cpu: 49%/50%   1         10        4          50m
frontend-hpa   Deployment/frontend   cpu: 48%/50%   1         10        4          52m
frontend-hpa   Deployment/frontend   cpu: 46%/50%   1         10        4          53m
frontend-hpa   Deployment/frontend   cpu: 50%/50%   1         10        4          54m
frontend-hpa   Deployment/frontend   cpu: 49%/50%   1         10        4          55m
frontend-hpa   Deployment/frontend   cpu: 48%/50%   1         10        4          56m
frontend-hpa   Deployment/frontend   cpu: 47%/50%   1         10        4          58m
frontend-hpa   Deployment/frontend   cpu: 49%/50%   1         10        4          59m
frontend-hpa   Deployment/frontend   cpu: 50%/50%   1         10        4          60m
frontend-hpa   Deployment/frontend   cpu: 49%/50%   1         10        4          61m
frontend-hpa   Deployment/frontend   cpu: 28%/50%   1         10        4          62m
frontend-hpa   Deployment/frontend   cpu: 4%/50%    1         10        4          63m
frontend-hpa   Deployment/frontend   cpu: 4%/50%    1         10        4          66m
frontend-hpa   Deployment/frontend   cpu: 6%/50%    1         10        3          67m
frontend-hpa   Deployment/frontend   cpu: 6%/50%    1         10        3          67m
frontend-hpa   Deployment/frontend   cpu: 14%/50%   1         10        1          68m
frontend-hpa   Deployment/frontend   cpu: 15%/50%   1         10        1          70m


300 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 17%/50%   1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 101%/50%   1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 101%/50%   1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 197%/50%   1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 197%/50%   1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 67%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 49%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 28%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 14%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 15%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 14%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 16%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 13%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 15%/50%    1         10        1          8d


500 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 15%/50%   1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 113%/50%   1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 113%/50%   1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 197%/50%   1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 197%/50%   1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 66%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 50%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 26%/50%    1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 4%/50%     1         10        4          8d
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 5%/50%     1         10        3          8d
frontend-hpa   Deployment/frontend   cpu: 15%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 13%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 16%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 15%/50%    1         10        1          8d
frontend-hpa   Deployment/frontend   cpu: 13%/50%    1         10        1          8d


100 users 70% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 14%/70%   1         10        1          137m
frontend-hpa   Deployment/frontend   cpu: 117%/70%  1         10        1          138m
frontend-hpa   Deployment/frontend   cpu: 117%/70%  1         10        2          138m
frontend-hpa   Deployment/frontend   cpu: 180%/70%  1         10        2          139m
frontend-hpa   Deployment/frontend   cpu: 180%/70%  1         10        3          139m
frontend-hpa   Deployment/frontend   cpu: 120%/70%  1         10        3          140m
frontend-hpa   Deployment/frontend   cpu: 120%/70%  1         10        4          140m
frontend-hpa   Deployment/frontend   cpu: 81%/70%   1         10        4          141m
frontend-hpa   Deployment/frontend   cpu: 60%/70%   1         10        4          142m
frontend-hpa   Deployment/frontend   cpu: 62%/70%   1         10        4          143m
frontend-hpa   Deployment/frontend   cpu: 58%/70%   1         10        4          145m
frontend-hpa   Deployment/frontend   cpu: 60%/70%   1         10        4          146m
frontend-hpa   Deployment/frontend   cpu: 62%/70%   1         10        4          147m
frontend-hpa   Deployment/frontend   cpu: 60%/70%   1         10        4          148m
frontend-hpa   Deployment/frontend   cpu: 61%/70%   1         10        4          149m
frontend-hpa   Deployment/frontend   cpu: 63%/70%   1         10        4          150m
frontend-hpa   Deployment/frontend   cpu: 61%/70%   1         10        4          151m
frontend-hpa   Deployment/frontend   cpu: 20%/70%   1         10        4          153m
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          154m
frontend-hpa   Deployment/frontend   cpu: 5%/70%    1         10        4          155m
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          156m
frontend-hpa   Deployment/frontend   cpu: 7%/70%    1         10        2          157m
frontend-hpa   Deployment/frontend   cpu: 7%/70%    1         10        2          158m
frontend-hpa   Deployment/frontend   cpu: 15%/70%   1         10        1          159m
frontend-hpa   Deployment/frontend   cpu: 14%/70%   1         10        1          160m
frontend-hpa   Deployment/frontend   cpu: 16%/70%   1         10        1          161m


300 users 70% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 14%/70%   1         10        1          5h12m
